X,Y,TNT_NAME,activity_type,address,date_fixed,latitude,longitude,repair_type,truck_name,FID
-8475619.50517636,5318108.52597983,Eastside,    Accessory On,745 IRVING AVE & WAVERLY AVE                      ,2018/01/25 23:14:31+00,43.0403039068234,-76.1377854388146,STREET REPAIR,DP1             ,1
-8472560.33337244,5320301.56255832,Eastside,    Accessory On,1246 CANAL ST SYRACUSE 13210                      ,2018/01/26 00:37:11+00,43.0547007105324,-76.1103044309325,STREET REPAIR,DP1             ,2
-8472445.72993027,5320507.06424208,Eastside,    Accessory On,1832 EB I 690 SYRACUSE 13210                      ,2018/02/23 06:22:01+00,43.0560496108201,-76.1092749306954,STREET REPAIR,DP1             ,3
-8472455.02511076,5320506.83571768,Eastside,    Accessory On,1830 EB I 690 SYRACUSE 13210                      ,2018/02/23 06:24:19+00,43.0560481108166,-76.1093584307224,STREET REPAIR,DP1             ,4
-8472454.99171516,5320511.64995591,Eastside,    Accessory On,1830 EB I 690 SYRACUSE 13210                      ,2018/02/23 06:25:32+00,43.0560797108224,-76.1093581307246,STREET REPAIR,DP1             ,5
-8472450.34969074,5320508.96860797,Eastside,    Accessory On,1832 EB I 690 SYRACUSE 13210                      ,2018/02/23 06:26:32+00,43.0560621108208,-76.1093164307098,STREET REPAIR,DP1             ,6
-8477848.92351192,5316326.10327897,Southside,    Accessory On,551 CORTLAND AVE & SOUTH AVE                      ,2018/02/23 07:12:36+00,43.0286002038967,-76.1578126444699,STREET REPAIR,DP1             ,7
-8477848.19993492,5316324.6566084,Southside,    Accessory On,551 CORTLAND AVE & SOUTH AVE                      ,2018/02/23 07:13:36+00,43.0285907038952,-76.1578061444671,STREET REPAIR,DP1             ,8
-8477849.43558152,5316321.94600508,Southside,    Accessory On,551 CORTLAND AVE & SOUTH AVE                      ,2018/02/23 07:14:38+00,43.0285729038915,-76.1578172444694,STREET REPAIR,DP1             ,9
-8477842.88999372,5316328.98139304,Southside,    Accessory On,857 SOUTH AVE & CORTLAND AVE                      ,2018/02/23 07:15:59+00,43.0286191039023,-76.1577584444537,STREET REPAIR,DP1             ,10
-8477788.287768,5316371.40702746,Southside,    Accessory On,545 1/2 CORTLAND AVE                              ,2018/02/23 07:18:14+00,43.0288977039725,-76.1572679443146,STREET REPAIR,DP1             ,11
-8478691.25598971,5314074.89785327,Southside,    Accessory On,2404 SOUTH AVE & ARMSTRONG PL                     ,2018/02/23 07:28:09+00,43.013815200885,-76.165379445861,STREET REPAIR,DP1             ,12
-8478699.08175203,5314066.81367547,Southside,    Accessory On,2404 SOUTH AVE & ARMSTRONG PL                     ,2018/02/23 07:29:08+00,43.0137621008726,-76.16544974588,STREET REPAIR,DP1             ,13
-8478700.43984983,5314058.79040268,Southside,    Accessory On,2404 SOUTH AVE & ARMSTRONG PL                     ,2018/02/23 07:30:27+00,43.0137094008624,-76.1654619458802,STREET REPAIR,DP1             ,14
-8476201.28295778,5311824.41716346,Valley,    Accessory On,4852 SALINA ST S                                  ,2018/02/23 07:44:55+00,42.9990313990307,-76.1430116375447,STREET REPAIR,DP1             ,15
-8476190.94137313,5311812.84937644,Valley,    Accessory On,4852 SALINA ST S                                  ,2018/02/23 07:45:35+00,42.9989553990203,-76.1429187375091,STREET REPAIR,DP1             ,16
-8476207.62817097,5311827.35477461,Valley,    Accessory On,4852 SALINA ST S                                  ,2018/02/23 07:46:29+00,42.9990506990321,-76.1430686375646,STREET REPAIR,DP1             ,17
-8476201.23842974,5311819.89659214,Valley,    Accessory On,4852 SALINA ST S                                  ,2018/02/23 07:47:12+00,42.9990016990253,-76.1430112375425,STREET REPAIR,DP1             ,18
-8476207.63930318,5311832.13410305,Valley,    Accessory On,4852 SALINA ST S                                  ,2018/02/23 07:48:18+00,42.9990820990378,-76.1430687375669,STREET REPAIR,DP1             ,19
-8476202.39615244,5311812.74283049,Valley,    Accessory On,4852 SALINA ST S                                  ,2018/02/23 07:50:42+00,42.9989546990162,-76.1430216375425,STREET REPAIR,DP1             ,20
