block,streetName,streetType,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,class,pavement,streetID,FID
100,ADAMS,ST,E,10,5,5,176,64,6/15,2015,F,Local,6,12577644,1
200,ADAMS,ST,E,10,5,5,557,64,6/15,2015,F,Local,6,12577647,2
200,ADAMS,ST,E,10,5,5,557,64,6/15,2015,F,Local,6,12577645,3
300,ADAMS,ST,E,10,5,5,358,64,6/15,2015,F,Local,6,12577648,4
400,ADAMS,ST,E,10,5,5,469,64,6/15,2015,F,Local,6,12577661,5
500,ADAMS,ST,E,10,5,5,469,64,6/15,2015,F,Local,6,12577667,6
500,ADAMS,ST,E,10,5,5,469,64,6/15,2015,F,Local,6,12577670,7
600,ADAMS,ST,E,10,5,5,528,64,6/15,2015,F,MA,6,12577725,8
600,ADAMS,ST,E,10,5,5,528,64,6/15,2015,F,MA,6,12577724,9
700,ADAMS,ST,E,10,5,5,411,30,6/15,2015,F,MA,6,12577726,10
700,ADAMS,ST,E,10,5,5,411,30,6/15,2015,F,MA,6,12577738,11
700,ADAMS,ST,E,10,5,5,411,30,6/15,2015,F,MA,6,13008622,12
700,ADAMS,ST,E,10,5,5,411,30,6/15,2015,F,MA,6,13007069,13
800,ADAMS,ST,E,10,5,5,763,30,6/15,2015,F,MA,6,12577753,14
800,ADAMS,ST,E,10,5,5,763,30,6/15,2015,F,MA,6,12577751,15
100,BLAINE,ST,,10,5,5,634,25,10/13,2013,F,Local,6,12573332,16
400,BRIGHTON,AVE,W,10,5,5,557,28,6/17,2017,F,Local,6,12576793,17
500,BRIGHTON,AVE,W,10,5,5,557,28,6/17,2017,F,Local,6,13020278,18
500,BRIGHTON,AVE,W,10,5,5,557,28,6/17,2017,F,Local,6,12572107,19
500,BRIGHTON,AVE,W,10,5,5,557,28,6/17,2017,F,Local,6,12572101,20
500,BRIGHTON,AVE,W,10,5,5,557,28,6/17,2017,F,Local,6,12572108,21
500,BRIGHTON,AVE,W,10,5,5,557,28,6/17,2017,F,Local,6,12572100,22
600,BRIGHTON,AVE,W,10,5,5,666,28,6/17,2017,F,Local,6,12572076,23
600,BRIGHTON,AVE,W,10,5,5,666,28,6/17,2017,F,Local,6,12572076,24
700,BRIGHTON,AVE,W,10,5,5,792,28,6/17,2017,F,Local,6,12572068,25
300,BURT,ST,,10,5,5,500,30,5/17,2017,F,MA,6,12577390,26
400,BURT,ST,,10,5,5,500,30,5/17,2017,F,MA,6,13020776,27
400,BURT,ST,,10,5,5,500,30,5/17,2017,F,MA,6,12577397,28
100,CATHERINE,ST,,10,5,5,549,30,6/15,2015,F,Local,6,12578010,29
800,CLINTON,ST,S,10,5,5,752,30,6/15,2015,F,MA,6,12573675,30
900,CLINTON,ST,S,10,5,5,513,30,6/15,2015,F,MA,6,13002505,31
1400,ERIE,BLVD,E,10,5,5,663,56,9/14,2014,F,PA,6,12578302,32
1500,ERIE,BLVD,E,10,5,5,552,56,9/14,2014,F,PA,6,12578303,33
1600,ERIE,BLVD,E,10,5,5,533,56,9/14,2014,F,PA,6,12578311,34
1600,ERIE,BLVD,E,10,5,5,533,56,9/14,2014,F,PA,6,12578312,35
1700,ERIE,BLVD,E,10,5,5,861,56,11/13,2013,F,PA,6,12578318,36
1700,ERIE,BLVD,E,10,5,5,861,56,11/13,2013,F,PA,6,12578315,37
1700,ERIE,BLVD,E,10,5,5,861,56,11/13,2013,F,PA,6,12578316,38
1700,ERIE,BLVD,E,10,5,5,861,56,11/13,2013,F,PA,6,12578319,39
1800,ERIE,BLVD,E,10,5,5,755,56,11/13,2013,F,PA,6,12578782,40
1800,ERIE,BLVD,E,10,5,5,755,56,11/13,2013,F,PA,6,12578781,41
1800,ERIE,BLVD,E,10,5,5,755,56,11/13,2013,F,PA,6,12578783,42
1900,ERIE,BLVD,E,10,5,5,216,56,11/13,2013,F,PA,6,13001919,43
1900,ERIE,BLVD,E,10,5,5,216,56,11/13,2013,F,PA,6,13011122,44
2000,ERIE,BLVD,E,10,5,5,725,56,11/13,2013,F,PA,6,12578796,45
2000,ERIE,BLVD,E,10,5,5,725,56,11/13,2013,F,PA,6,12578795,46
2100,ERIE,BLVD,E,10,5,5,1164,56,11/13,2013,F,PA,6,12578828,47
2100,ERIE,BLVD,E,10,5,5,1164,56,11/13,2013,F,PA,6,12578827,48
2200,ERIE,BLVD,E,10,5,5,1208,56,11/13,2013,F,PA,6,13011156,49
2200,ERIE,BLVD,E,10,5,5,1208,56,11/13,2013,F,PA,6,12578831,50
200,HOLLAND,ST,,9,5,5,816,25,4/14,2011,F,Local,6,12573294,51
400,HUDSON,ST,,9,5,5,582,28,3/14,NA,O,Local,3,12573205,52
100,KELLOGG,ST,,9,5,5,625,25,9/14,2013,F,Local,6,12573304,53
100,KELLOGG,ST,,9,5,5,625,25,9/14,2013,F,Local,6,12573301,54
400,MERRIMAN,AVE,,9,5,5,675,25,4/14,2009,F,Local,6,12573108,55
200,MIDLER,AVE,N,9,5,5,1000,36,5/15,2012,F,MA,6,12581113,56
700,MONTGOMERY,ST,,9,5,5,378,30,4/15,2002,F,Local,6,12577646,57
900,NORTHCLIFFE,RD,,9,5,5,342,30,4/14,2011,O,Local,3,12581082,58
1000,NORTHCLIFFE,RD,,9,5,5,348,30,4/14,2011,O,Local,3,12581222,59
300,OSWEGO,ST,,9,5,5,297,36,6/14,2005,F,Local,6,12573595,60
600,OTISCO,ST,,9,5,5,454,30,9/14,2012,F,Local,6,12573589,61
700,OTISCO,ST,,9,5,5,797,30,9/14,2012,F,Local,6,12573438,62
700,OTISCO,ST,,9,5,5,797,30,9/14,2012,F,Local,6,12573442,63
100,PROSPECT,AVE,,9,5,5,312,44,4/14,2011,F,Local,6,12577953,64
100,RICH,ST,,9,5,5,504,28,10/13,2012,F,Local,6,12573272,65
100,RICH,ST,,9,5,5,504,28,10/13,2012,F,Local,6,12573271,66
300,RICH,ST,,9,4,5,623,28,3/15,2012,F,Local,6,12573170,67
800,SALINA,ST,N,9,4,5,544,70,4/14,NA,F,MA,6,12575168,68
200,SHONNARD,ST,,9,5,5,1011,34,9/14,2011,F,CO,6,12573597,69
200,SHONNARD,ST,,9,5,5,1011,34,9/14,2011,F,CO,6,12573600,70
1400,SPRING,ST,,9,5,5,487,36,4/15,2010,F,Local,6,12575265,71
1500,STATE,ST,S,9,5,5,581,32,9/14,2012,F,Local,6,12577266,72
