X,Y,fullDate,location,leakClass,month,date,weekday,year,week,lon,lat,ObjectId
-8479826.176,5319087.8285,2011/01/14 00:00:00+00,1205 W FAYETTE ST,0,1.0,14.0,,2011.0,2.0,-76.1755746057759,43.0467332304331,1
-8474632.4274,5314543.8284,2011/01/14 00:00:00+00,1003 JAMESVILLE AVE,0,1.0,14.0,,2011.0,2.0,-76.1289183682834,43.0168952398567,2
-8478343.6865,5316542.6572,2011/01/14 00:00:00+00,PALMER AVE & CHENEY ST,0,1.0,14.0,,2011.0,2.0,-76.162257176012,43.0300222543868,3
-8472936.4285,5319304.87950001,2011/01/16 00:00:00+00,2100 E FAYETTE ST,0,1.0,16.0,,2011.0,3.0,-76.1136829509462,43.0481581239255,4
-8477194.7516,5320760.5106,2011/01/17 00:00:00+00,206 BUTTERNUT ST,0,1.0,17.0,,2011.0,3.0,-76.1519361182007,43.0577131761086,5
-8472853.033,5319641.2958,2011/01/23 00:00:00+00,104 CROLY ST,0,1.0,23.0,,2011.0,4.0,-76.1129337964234,43.0503665597289,6
-8475326.52060001,5318316.1994,2011/01/21 00:00:00+00,169 MARSHALL ST,0,1.0,21.0,,2011.0,3.0,-76.1351535135851,43.0416673820757,7
-8471798.1541,5321533.2829,2011/01/20 00:00:00+00,356 NICHOLS AVE,0,1.0,20.0,,2011.0,3.0,-76.1034576580358,43.0627852023022,8
-8479963.1885,5319637.78399999,2011/01/26 00:00:00+00,634 RICHMOND AVE,0,1.0,26.0,,2011.0,4.0,-76.1768054100046,43.0503435066048,9
-8476881.26969999,5324628.87,2011/01/26 00:00:00+00,1559 LEMOYNE AVE,0,1.0,26.0,,2011.0,4.0,-76.14912006238,43.083098621823,10
-8471838.1042,5319769.19479999,2011/01/26 00:00:00+00,313 SEELEY RD,0,1.0,26.0,,2011.0,4.0,-76.1038165358901,43.0512061436391,11
-8472821.63059999,5317477.3888,2011/01/27 00:00:00+00,543 CUMBERLAND AVE,0,1.0,27.0,,2011.0,4.0,-76.1126517038646,43.0361600036413,12
-8470683.69980001,5317792.3266,2011/01/27 00:00:00+00,LOCKWOOD RD & KIMBER RD,0,1.0,27.0,,2011.0,4.0,-76.0934463447244,43.038227848591,13
-8472821.63059999,5317477.3888,2011/01/28 00:00:00+00,543 CUMBERLAND AVE,0,1.0,28.0,,2011.0,4.0,-76.1126517038646,43.0361600036413,14
-8479865.878,5319107.79709999,2011/01/30 00:00:00+00,1225 W FAYETTE ST,0,1.0,30.0,,2011.0,5.0,-76.1759312549101,43.0468643214129,15
-8482510.6744,5316056.823,2011/01/31 00:00:00+00,HIGHRIDGE PL & HIGHRIDGE DR,0,1.0,31.0,,2011.0,5.0,-76.1996898652051,43.0268318678504,16
-8471505.4654,5317637.56259999,2011/01/31 00:00:00+00,400 BROOKFORD RD,0,1.0,31.0,,2011.0,5.0,-76.1008283907088,43.0372116948827,17
-8478213.3783,5316734.4168,2011/01/31 00:00:00+00,425 RICH ST,0,1.0,31.0,,2011.0,5.0,-76.1610865975349,43.0312814598342,18
-8478213.3783,5316734.4168,2011/01/31 00:00:00+00,425 RICH ST,0,1.0,31.0,,2011.0,5.0,-76.1610865975349,43.0312814598342,19
-8474266.9536,5314552.6007,2011/02/04 00:00:00+00,312 ARNOLD AVE,0,2.0,4.0,,2011.0,5.0,-76.1256352612786,43.0169528567806,20
-8478714.8418,5315104.3493,2011/02/06 00:00:00+00,718 SUMMIT AVE,0,2.0,6.0,,2011.0,6.0,-76.1655913207997,43.0205766617243,21
-8476311.1283,5318308.4467,2011/02/03 00:00:00+00,S MCBRIDE ST & MONROE ST,0,2.0,3.0,,2011.0,5.0,-76.1439983950428,43.0416164824396,22
-8478126.6947,5324046.8794,2011/02/07 00:00:00+00,819 HIAWATHA BLVD E,0,2.0,7.0,,2011.0,6.0,-76.1603079055073,43.0792800801658,23
-8475487.941,5310293.84380001,2011/02/08 00:00:00+00,305 MAPLEWOOD AVE,0,2.0,8.0,,2011.0,6.0,-76.1366035777099,42.9889747617576,24
-8471993.4949,5320093.7675,2011/02/09 00:00:00+00,2410 ERIE BLVD E,0,2.0,9.0,,2011.0,6.0,-76.1052124342983,43.0533367265069,25
-8475692.7698,5320078.6712,2011/02/10 00:00:00+00,422 HAWLEY AVE,0,2.0,10.0,,2011.0,6.0,-76.1384435861266,43.0532376319575,26
-8476096.9789,5319495.4488,2011/02/10 00:00:00+00,700 E WASHINGTON ST,0,2.0,10.0,,2011.0,6.0,-76.1420746582517,43.0494091434208,27
-8474328.8501,5322678.2055,2011/02/10 00:00:00+00,250 WHEATON RD,0,2.0,10.0,,2011.0,6.0,-76.1261912869984,43.0702990344592,28
-8469813.3641,5318104.0791,2011/02/12 00:00:00+00,518 HILLSBORO PKWY,0,2.0,12.0,,2011.0,7.0,-76.0856279861081,43.0402747106008,29
-8471652.5928,5320148.5458,2011/02/13 00:00:00+00,2564 ERIE BLVD E,0,2.0,13.0,,2011.0,7.0,-76.1021500586301,43.0536962987634,30
-8478312.9893,5322063.5182,2011/02/13 00:00:00+00,115 TURTLE ST,0,2.0,13.0,,2011.0,7.0,-76.1619814183726,43.0662651145183,31
-8471522.1178,5319209.6519,2011/02/13 00:00:00+00,175 MILNOR AVE,0,2.0,13.0,,2011.0,7.0,-76.1009779817632,43.0475329791301,32
-8472030.1015,5321078.98290001,2011/02/15 00:00:00+00,S EDWARDS AVE & CALEB AVE,0,2.0,15.0,,2011.0,7.0,-76.1055412769811,43.0598034931724,33
-8477795.48269999,5314350.1824,2011/02/15 00:00:00+00,100 KEEN PL,0,2.0,15.0,,2011.0,7.0,-76.1573325774884,43.0156233490615,34
-8481415.7787,5320234.0184,2011/02/15 00:00:00+00,204 HERKIMER ST,0,2.0,15.0,,2011.0,7.0,-76.1898542497868,43.0542573483938,35
-8474295.1578,5314919.5131,2011/02/16 00:00:00+00,606 THURBER ST,0,2.0,16.0,,2011.0,7.0,-76.1258886239179,43.0193627081386,36
-8477344.38370001,5312428.2525,2011/02/17 00:00:00+00,1524 VALLEY DR,0,2.0,17.0,,2011.0,7.0,-76.153280286225,43.0029984483794,37
-8470786.1677,5319486.8723,2011/02/16 00:00:00+00,513 FAYETTE BLVD,0,2.0,16.0,,2011.0,7.0,-76.0943668295314,43.0493528423051,38
-8482041.887,5319600.1469,2011/02/16 00:00:00+00,640 MYRTLE ST,0,2.0,16.0,,2011.0,7.0,-76.1954786763409,43.050096438251,39
-8477818.8429,5320591.921,2011/02/17 00:00:00+00,SOLAR ST & PLUM ST,0,2.0,17.0,,2011.0,7.0,-76.1575424257355,43.0566065966528,40
-8477129.2896,5315111.4765,2011/02/17 00:00:00+00,300 HOPE AVE,0,2.0,17.0,,2011.0,7.0,-76.1513480630494,43.0206234707431,41
-8477820.2001,5320985.93149999,2011/02/18 00:00:00+00,232 W DIVISION ST,0,2.0,18.0,,2011.0,7.0,-76.1575546176705,43.059192750629,42
-8475339.7241,5323394.37360001,2011/02/21 00:00:00+00,209 KENWICK DR,0,2.0,21.0,,2011.0,8.0,-76.1352721226436,43.0749985930133,43
-8478247.2543,5322007.4119,2011/02/22 00:00:00+00,304 SUNSET AVE,0,2.0,22.0,,2011.0,8.0,-76.1613909108206,43.0658969005507,44
-8481701.0845,5318921.5809,2011/02/23 00:00:00+00,206 MYRTLE ST,0,2.0,23.0,,2011.0,8.0,-76.1924171953947,43.0456418280344,45
-8480937.1921,5316906.8821,2011/02/28 00:00:00+00,1913 BELLEVUE AVE,0,2.0,28.0,,2011.0,9.0,-76.1855550332113,43.0324139455816,46
-8472695.7344,5318588.0544,2011/02/23 00:00:00+00,217 SCOTTHOLM BLVD,0,2.0,23.0,,2011.0,8.0,-76.1115207590579,43.0434521942782,47
-8476731.5445,5320174.96789999,2011/02/24 00:00:00+00,E WILLOW ST & PROSPECT AVE,0,2.0,24.0,,2011.0,8.0,-76.1477750580243,43.0538697362894,48
-8477790.28840001,5322163.07799999,2011/03/01 00:00:00+00,515 DANFORTH ST,0,3.0,1.0,,2011.0,9.0,-76.1572859162977,43.0669184993164,49
-8477786.6474,5322169.79159999,2011/03/02 00:00:00+00,519 DANFORTH ST,0,3.0,2.0,,2011.0,9.0,-76.1572532086382,43.0669625586579,50
-8477786.6474,5322169.79159999,2011/03/02 00:00:00+00,519 DANFORTH ST,0,3.0,2.0,,2011.0,9.0,-76.1572532086382,43.0669625586579,51
-8472447.3282,5319345.1758,2011/03/04 00:00:00+00,2507 E FAYETTE ST,0,3.0,4.0,,2011.0,9.0,-76.1092892881966,43.0484226568921,52
-8474543.1341,5312493.12919999,2011/03/07 00:00:00+00,170 INTREPID LA,0,3.0,7.0,,2011.0,10.0,-76.1281162329218,43.0034246570712,53
-8479656.092,5318434.8266,2011/03/09 00:00:00+00,S WILBUR AVE & MAGNOLIA ST,0,3.0,9.0,,2011.0,10.0,-76.1740467152081,43.0424462127391,54
-8479226.7823,5321291.26169999,2011/03/10 00:00:00+00,VAN RENSSELAER ST & W BEAR ST,0,3.0,10.0,,2011.0,10.0,-76.1701901605568,43.0611967615752,55
-8476862.0206,5321615.6815,2011/03/14 00:00:00+00,658 E DIVISION ST,0,3.0,14.0,,2011.0,11.0,-76.1489471447727,43.0633259938497,56
